UCP,Variable,FECHA,TIPO_DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,Total,PO19,PO20,PO21
MC-Cali,Demanda_Real,2022-09-13,MARTES,388.89228,372.56801,366.57569,367.42836,381.12757,405.09235,422.16344,466.27572,517.38049,552.50506,584.46568,606.92414,605.96721,609.61125,596.65753,592.45646,588.25167,558.63434,570.05288,568.21868,553.40871,513.5152,468.94266,427.70855,12084.82393,562.0,560.0,546.0
MC-Cali,Demanda_Real,2022-09-14,MIERCOLES,405.45722,389.71724,382.49165,376.21427,378.95363,397.23984,413.61186,472.17206,519.13094,545.87886,575.60769,598.41741,602.23187,598.38969,608.22876,611.01387,599.14679,569.1763,580.51016,576.6107,553.50483,518.93514,474.20262,436.13523,12182.97863,575.0,564.0,552.0
MC-Cali,Demanda_Real,2022-09-15,JUEVES,407.42195,383.84836,383.33082,382.6655,385.70128,405.8824,417.66136,463.3911,524.58145,559.09502,583.73694,614.76734,611.93299,607.38173,620.63166,614.58808,593.03389,560.65578,571.41123,559.58253,546.97757,510.49257,468.97865,427.91166,12205.66186,560.0,560.0,542.0
MC-Cali,Demanda_Real,2022-09-16,VIERNES,399.19961,386.59071,380.44288,367.75256,375.85286,396.08071,416.02032,463.41235,511.03173,546.52345,570.59728,586.87038,578.77509,571.07118,571.50212,573.98733,567.34415,541.24881,557.49231,547.87596,522.44501,494.26149,449.57174,417.33699,11793.28702,543.0,537.0,521.0
MC-Cali,Demanda_Real,2022-09-17,SABADO,398.22179,380.88047,370.35553,364.24463,366.04085,368.16268,371.97506,418.40978,465.48738,500.26123,528.09699,552.58902,550.08854,533.49443,517.87266,513.19363,504.12328,487.29928,519.04125,519.44517,496.0703,458.56051,425.12496,394.49919,11003.53861,508.0,506.0,493.0
MC-Cali,Demanda_Real,2022-09-18,DOMINGO,372.72949,354.7581,342.55286,318.34956,313.66895,309.2613,295.02798,314.97323,340.07707,363.43659,388.05515,404.52479,415.78883,416.95404,411.86044,396.41363,387.69283,388.54092,431.63206,442.1673,430.91073,411.626,389.07633,376.01889,9016.09707,430.0,432.0,428.0
MC-Cali,Demanda_Real,2022-09-19,LUNES,353.69395,342.15075,336.0598,333.34994,341.44691,365.41715,383.6202,436.89762,486.5593,514.372,554.01467,563.63319,572.31612,565.0083,560.54839,570.37208,561.81182,525.71841,545.33711,542.76437,516.27747,477.78713,434.32769,399.56004,11283.04441,530.0,525.0,513.0
MC-Cali,Demanda_Real,2022-09-20,MARTES,372.88591,358.22053,350.88487,341.87736,347.0702,364.94045,384.83874,429.54051,474.52536,495.99109,525.6232,541.14987,530.9989,531.74793,553.93357,561.20606,555.20006,511.89137,544.06141,538.90562,512.48642,473.50568,427.79808,390.93836,11120.22155,533.0,531.0,513.0
MC-Cali,Demanda_Real,2022-09-21,MIERCOLES,366.42157,354.09341,343.99263,336.17046,347.64506,372.33296,409.49028,449.96981,489.76512,525.08953,550.80275,559.02196,558.17817,560.23881,567.9605,567.95621,549.86335,537.73259,560.58061,553.0742,526.90783,488.74223,441.43117,407.7924,11425.25361,539.0,536.0,523.0
MC-Cali,Demanda_Real,2022-09-22,JUEVES,378.08892,363.92877,351.55704,349.59778,356.01306,368.67566,375.9264,429.18853,473.54484,499.93072,534.54317,559.68273,567.33149,566.19061,563.96985,564.35682,543.34128,519.98522,540.4893,538.11241,511.22253,473.15917,430.0748,396.22451,11255.13561,520.0,511.0,493.0
MC-Cali,Demanda_Real,2022-09-23,VIERNES,373.56175,354.32054,341.98573,340.82756,350.32338,355.25645,372.05228,417.37778,466.27447,496.90529,530.5678,554.53995,554.58577,559.05269,575.63638,583.17674,565.56229,526.1294,550.21439,545.80299,530.03962,495.7205,438.6345,403.77358,11282.32183,529.0,524.0,508.0
MC-Cali,Demanda_Real,2022-09-24,SABADO,378.15619,366.86533,370.3161,360.68318,354.97724,357.12065,366.25099,402.13499,446.50932,482.94702,511.0558,530.46091,526.62492,510.36724,503.89256,486.84946,486.42009,470.44223,508.22068,516.93612,495.0364,454.86047,425.47462,397.31268,10709.91519,453.0,454.0,443.0
MC-Cali,Demanda_Real,2022-09-25,DOMINGO,364.36551,334.83757,322.65904,320.88266,303.04645,299.82776,282.7705,302.39919,328.69153,357.11183,378.25102,395.78425,408.45933,405.75236,404.57465,399.35054,399.32589,418.67983,458.85772,469.93264,461.94988,441.92361,419.84756,391.63479,9070.91611,441.0,441.0,436.0
MC-Cali,Demanda_Real,2022-09-26,LUNES,366.1878,353.21704,342.59567,341.56027,345.66256,364.76116,384.60844,446.99747,500.92426,529.47934,548.60662,577.33237,591.22949,591.597,601.85405,609.82187,605.48641,552.07807,570.68921,569.60849,542.67654,510.75713,461.97894,423.60157,11733.31177,545.0,539.0,519.0
MC-Cali,Demanda_Real,2022-09-27,MARTES,396.37131,375.07301,369.07691,365.04306,373.44028,393.47927,415.27482,456.09305,498.18063,547.75785,583.07433,606.41757,600.09281,604.10247,621.69898,625.43979,609.20905,567.00366,564.6381,573.20296,550.29922,514.6548,475.34508,427.14388,12112.11289,548.0,544.0,528.0
MC-Cali,Demanda_Real,2022-09-28,MIERCOLES,397.83626,382.34185,368.59815,368.64381,375.52704,393.75824,410.76457,455.65967,511.39942,550.22645,585.53291,600.32662,597.78745,600.5187,612.71339,601.21703,574.99444,556.69959,563.81753,550.1245,522.75651,483.25546,440.2003,406.89436,11911.59425,534.0,520.0,506.0
MC-Cali,Demanda_Real,2022-09-29,JUEVES,379.68551,364.85605,352.61855,358.08186,363.22595,387.0502,405.76955,449.435,495.69369,515.57789,545.06675,574.11114,568.50198,559.34494,573.16476,581.66245,571.74807,541.57657,557.87583,557.2049,530.69835,497.151,453.33484,415.40675,11598.84258,561.0,560.0,547.0
MC-Cali,Demanda_Real,2022-09-30,VIERNES,392.04435,371.17897,364.3215,360.39202,364.96564,384.89332,407.52796,451.5903,504.21789,538.52577,568.94398,590.32021,587.62185,588.90865,602.21914,606.13929,582.81027,546.84724,565.25187,553.93782,528.85787,489.73711,452.45805,418.93223,11822.6433,565.0,552.0,540.0
MC-Cali,Demanda_Real,2022-08-01,LUNES,360.50072,346.97616,342.77774,341.04858,340.95285,362.21527,380.13649,432.2974,479.08523,509.82833,543.5387,566.5338,569.9114,577.29396,583.76186,584.0365,584.54338,536.27364,537.59866,553.49752,531.52462,495.96112,451.94365,416.11207,11428.34965,529.0,541.0,522.0
MC-Cali,Demanda_Real,2022-08-02,MARTES,372.14567,365.75659,353.99282,347.81702,356.70377,379.06894,393.94825,440.36779,499.27776,524.89169,542.97275,561.15722,556.66154,556.20676,576.52576,583.5413,577.10685,534.69776,527.21184,537.36395,522.28952,496.3098,453.86901,416.46578,11476.35014,532.0,544.0,526.0
MC-Cali,Demanda_Real,2022-08-03,MIERCOLES,392.44456,366.62298,361.19299,360.34032,352.86651,385.1558,391.39306,437.90141,484.11063,520.83134,553.70152,575.83921,574.40669,582.27234,600.00234,592.60127,552.93313,533.96912,536.20182,556.63583,535.08621,498.22855,457.21145,419.3741,11621.32318,535.0,548.0,527.0
MC-Cali,Demanda_Real,2022-08-04,JUEVES,398.96376,376.89265,365.01667,360.45286,366.24376,385.85004,405.09998,458.6739,499.28598,510.96941,544.35993,565.5198,572.97364,581.25946,588.82719,581.23342,576.36582,544.83571,545.70559,560.59665,537.35947,504.23734,459.66347,425.72167,11716.10817,542.0,540.0,529.0
MC-Cali,Demanda_Real,2022-08-05,VIERNES,396.22985,380.96614,369.8558,363.63617,368.09673,387.56609,401.65411,448.53947,496.22131,526.52338,554.91379,585.61023,580.07706,576.44258,578.01574,572.48694,549.34448,522.87653,530.11771,544.91002,528.15283,491.06932,451.49085,415.53082,11620.32795,526.0,525.0,514.0
MC-Cali,Demanda_Real,2022-08-06,SABADO,388.31887,372.97164,360.99297,353.49423,351.86668,362.14204,374.84329,406.65142,444.52717,486.51691,509.49445,519.84583,524.23184,509.58231,485.87031,495.72229,485.76639,485.94563,503.16987,507.93574,490.31923,454.83033,418.62245,387.34318,10681.00507,501.0,500.0,485.0
